,Met Needs Nurse Notes,Met Needs Carer Notes,Unmet Needs Nurse Notes,Unmet Needs Carer Notes
offered,0.2913948310164125,0.23156865581259833,0.2419492771623859,0.266382952377426
morning,0.27763310282233317,,0.27534420415764094,
discussed,0.25989268712274627,0.0023156865581259833,0.26394466599533006,0.0026907368927012723
pain,0.25989268712274627,0.004631373116251967,0.06912836490353882,0.021525895141610178
signs,0.24986979254009983,,0.2563549486984933,
vital,0.24590360535692368,,0.24211300710413255,
stable,0.23797123099057127,,0.19938718232105032,
controlled,0.1961936157271954,,,
importance,0.17981433939518068,,0.15373438862665284,0.003291157478590796
activities,0.16801143409955316,0.0972588354412913,0.10055034895060194,0.2448570572358158
assessed,0.1586474873270475,,0.2800915180224279,
environment,0.14701000483710902,0.004631373116251967,0.03770638085647573,0.04036105339051909
maintaining,0.13881655141116658,,0.06171508024222986,
medication,0.13881655141116658,,0.0379785109182953,
monitored,0.138071724892728,,0.22291486350864664,0.01645578739295398
well,0.1348607545463855,,0.007686719431332642,0.009873472435772388
opportunities,0.1286337542324704,0.04631373116251966,0.0031421984047063107,0.05650547474672672
maintained,0.12576513828666372,,,
support,0.11550786094344279,0.013894119348755899,0.08483935692707038,0.0053814737854025445
sense,0.11550786094344279,0.013894119348755899,0.03456418245176941,0.034979579605116544
comfortable,0.11550786094344279,0.13199413381318104,0.006284396809412621,0.0484332640686229
respectful,0.11067332169226406,,,
free,0.10564271616079751,,,
appeared,0.10500714631222072,0.05094510427877163,0.1225457377835461,0.0026907368927012723
shift,0.10061211062933098,,,
need,0.10061211062933098,,,
emotional,0.09713161033880417,0.016209805906881883,0.07541276171295146,0.11301094949345344
calm,0.09713161033880417,0.02084117902313385,0.009426595214118932,0.04036105339051909
comfort,0.09450643168099865,0.060207850511275564,0.028279785642356794,0.05381473785402545
level,0.08027425865856279,,0.03074687772533057,0.003291157478590796
provided,0.07535755648034757,,0.023736569323934562,
feeling,0.07087982376074899,0.009262746232503933,0.12883013459295872,0.013453684463506362
night,0.0674251821139952,,0.04272582478308221,
experiencing,0.0674251821139952,,0.1519140436731812,
promote,0.06562946644513795,0.009262746232503933,0.018853190428237864,0.029598105819713998
ensured,0.06300428778733243,0.136625506929433,0.025137587237650486,0.051124000961324176
reported,0.06037910912952692,0.0023156865581259833,0.13197233299766503,0.008072210678103818
desired,0.05949280774764282,0.02449019012039046,,
factors,0.05949280774764282,,0.052220452512656036,
contributing,0.05949280774764282,,0.06171508024222986,
techniques,0.05779746623416521,0.03115658788480474,0.0730238345976601,
relaxation,0.05779746623416521,0.03965383912611512,0.06149375545066114,
expressed,0.05775393047172139,0.016209805906881883,0.0628439680941262,0.016144421356207635
day,0.05775393047172139,0.0023156865581259833,0.16339431704472815,0.0053814737854025445
strategies,0.05552662056446663,,0.06646239410701678,
slept,0.05552662056446663,,0.009494627729573825,
peacefully,0.05533666084613203,,,
preferred,0.055128751813915876,0.10189020855754326,0.01571099202353155,0.059196211639427995
needed,0.05250357315611036,0.004631373116251967,0.05027517447530097,0.0053814737854025445
triggers,0.05156043338129044,,0.04272582478308221,
measures,0.04816455519513768,0.016994502482620764,0.03074687772533057,
managing,0.04527544978319894,,,
cultural,0.04174261450245265,0.028324170804367943,,0.003291157478590796
connection,0.039661871831761876,,0.014241941594360739,
breathing,0.039661871831761876,,0.0759570218365906,
sleep,0.03937767986708277,0.02084117902313385,0.07541276171295146,0.013453684463506362
concerns,0.03853164415611014,,0.019216798578331605,0.006582314957181592
social,0.036752501209277255,0.06715491018565352,0.009426595214118932,0.06726842231753181
exercises,0.036752501209277255,0.004631373116251967,0.03456418245176941,0.016144421356207635
spiritual,0.03569568464858569,,0.004747313864786913,
fluids,0.03569568464858569,0.06647337318391697,,
occasional,0.03569568464858569,,0.13767210207882047,
coping,0.035214238720265835,,,
anxiety,0.03412732255147173,0.011578432790629915,0.03456418245176941,0.01883515824890891
engage,0.031729497465409505,,,0.03252187395444451
daily,0.031729497465409505,,0.056967766377442955,
deep,0.031729497465409505,,0.03323119705350839,
appetite,0.031502143893666214,0.011578432790629915,0.0314219840470631,0.021525895141610178
outlook,0.03018363318879929,,,
frustration,0.028898733117082603,0.005664834160873588,,0.003291157478590796
listened,0.028876965235860697,0.004631373116251967,0.05027517447530097,0.010762947570805089
resident,0.028876965235860697,0.48629417720645646,0.16653651544943446,0.3390328484803603
food,0.027763310282233316,,,0.028456639710138946
hydrated,0.027763310282233316,,0.01898925545914765,
staying,0.027763310282233316,,0.01898925545914765,
music,0.02625178657805518,0.060207850511275564,0.025137587237650486,0.06457768542483054
bedtime,0.025153027657332745,,,
setting,0.025153027657332745,,,
compassionate,0.025153027657332745,,,
spending,0.02379712309905713,0.020991591531763252,,
participating,0.023626607920249662,0.009262746232503933,0.009426595214118932,0.016144421356207635
listening,0.023626607920249662,0.06715491018565352,0.0031421984047063107,0.06726842231753181
positive,0.023626607920249662,0.057892163953149584,0.0031421984047063107,0.04036105339051909
simple,0.023626607920249662,0.009262746232503933,0.021995388832944173,0.04574252717592163
loneliness,0.022476792424397585,0.008497251241310382,0.011530079146998964,
related,0.022476792424397585,0.005664834160873588,,0.003291157478590796
group,0.021001429262444145,0.05094510427877163,0.009426595214118932,0.051124000961324176
continued,0.021001429262444145,0.10652158167379523,0.0031421984047063107,0.18297010870368652
time,0.021001429262444145,0.06483922362752753,0.01571099202353155,0.013453684463506362
encouraging,0.020122422125866193,,,
moments,0.020122422125866193,,,
procedures,0.020122422125866193,,,
taste,0.019830935915880938,0.003498598588627209,,
changes,0.019830935915880938,,0.047473138647869124,
mild,0.019830935915880938,,0.01898925545914765,
cognitive,0.019830935915880938,,0.04272582478308221,
discomfort,0.01926582207805507,,0.007686719431332642,0.003291157478590796
home,0.01926582207805507,0.008497251241310382,0.003843359715666321,
meals,0.01926582207805507,,0.007686719431332642,0.006582314957181592
schedule,0.01605485173171256,,0.04227695687232953,0.003291157478590796
smaller,0.01605485173171256,,0.015373438862665284,0.019746944871544776
intake,0.01605485173171256,,0.03459023744099689,0.013164629914363185
nursing,0.01605485173171256,0.005664834160873588,0.003843359715666321,
laundry,0.01605485173171256,0.005664834160873588,,0.03291157478590796
folding,0.01605485173171256,0.008497251241310382,,0.03620273226449876
routines,0.01605485173171256,,0.02690351800966425,0.006582314957181592
others,0.015864748732704752,0.003498598588627209,,
engaging,0.015864748732704752,0.013994394354508836,,
oxygen,0.015864748732704752,,0.014241941594360739,
reassurance,0.015864748732704752,,0.047473138647869124,
appropriate,0.015864748732704752,,0.014241941594360739,
resources,0.015864748732704752,0.003498598588627209,,
energy,0.015864748732704752,,0.047473138647869124,
memory,0.015751071946833107,0.011578432790629915,0.0314219840470631,0.01883515824890891
interaction,0.015751071946833107,0.02084117902313385,0.006284396809412621,0.013453684463506362
familiar,0.015751071946833107,0.1088372682319212,0.0314219840470631,0.11839242327885599
hobbies,0.015751071946833107,0.013894119348755899,0.0031421984047063107,0.01883515824890891
calming,0.015751071946833107,0.06947059674377949,0.03456418245176941,0.06726842231753181
decreased,0.015751071946833107,0.016209805906881883,0.025137587237650486,0.02421663203431145
purpose,0.015751071946833107,0.0023156865581259833,0.012568793618825243,0.0053814737854025445
relaxing,0.015091816594399645,,,
retention,0.015091816594399645,,,
understanding,0.015091816594399645,,,
connections,0.015091816594399645,,,
compatible,0.015091816594399645,,,
stretch,0.015091816594399645,,,
longer,0.015091816594399645,,,
enjoys,0.015091816594399645,,,
adls,0.015091816594399645,,,
mechanisms,0.015091816594399645,,,
adjustments,0.015091816594399645,,,
slightly,0.01312589328902759,0.08799608920878736,0.006284396809412621,0.0484332640686229
residents,0.01312589328902759,0.009262746232503933,0.018853190428237864,0.008072210678103818
difficulty,0.01312589328902759,0.0023156865581259833,0.03770638085647573,0.008072210678103818
routine,0.01312589328902759,0.0023156865581259833,0.028279785642356794,0.013453684463506362
therapy,0.01312589328902759,0.018525492465007867,0.03456418245176941,0.008072210678103818
gardening,0.01312589328902759,0.0416823580462677,0.006284396809412621,0.008072210678103818
accomplishment,0.01312589328902759,0.009262746232503933,0.0031421984047063107,0.008072210678103818
limitations,0.01312589328902759,0.004631373116251967,0.009426595214118932,0.010762947570805089
frequent,0.012843881385370046,,0.007686719431332642,0.003291157478590796
explored,0.012843881385370046,0.002832417080436794,0.06533711516632745,
apathy,0.011898561549528565,,,0.004065234244305564
function,0.011898561549528565,,0.052220452512656036,
patterns,0.011898561549528565,,0.052220452512656036,
motor,0.011898561549528565,0.003498598588627209,,
fine,0.011898561549528565,0.003498598588627209,,
living,0.011898561549528565,,0.014241941594360739,
independence,0.011898561549528565,,0.028483883188721477,
yoga,0.011898561549528565,0.003498598588627209,,
manage,0.011898561549528565,,0.023736569323934562,
cause,0.011898561549528565,,0.004747313864786913,
levels,0.011898561549528565,,0.07120970797180369,
new,0.010500714631222072,0.011578432790629915,0.009426595214118932,0.008072210678103818
light,0.010500714631222072,0.004631373116251967,0.01571099202353155,0.013453684463506362
mobility,0.010500714631222072,0.004631373116251967,0.01571099202353155,0.0026907368927012723
ones,0.010500714631222072,0.004631373116251967,0.021995388832944173,0.008072210678103818
loved,0.010500714631222072,0.004631373116251967,0.021995388832944173,0.010762947570805089
guided,0.010500714631222072,0.009262746232503933,0.006284396809412621,0.0026907368927012723
gentle,0.010500714631222072,0.02315686558125983,0.012568793618825243,0.029598105819713998
sorting,0.010500714631222072,0.016209805906881883,0.006284396809412621,0.026907368927012724
stimulation,0.010500714631222072,0.0023156865581259833,0.0031421984047063107,0.0026907368927012723
disturbances,0.010061211062933097,,,
goals,0.010061211062933097,,,
pets,0.010061211062933097,,,
combating,0.010061211062933097,,,
conversations,0.010061211062933097,,,
deeper,0.010061211062933097,,,
belonging,0.010061211062933097,,,
high,0.010061211062933097,,,
practices,0.010061211062933097,,,
temperatures,0.010061211062933097,,,
variety,0.010061211062933097,,,
writing,0.010061211062933097,,,
rate,0.010061211062933097,,,
connected,0.010061211062933097,,,
backgrounds,0.010061211062933097,,,
empathetic,0.010061211062933097,,,
challenges,0.010061211062933097,,,
discouragement,0.010061211062933097,,,
adaptive,0.010061211062933097,,,
bathroom,0.010061211062933097,,,
bars,0.010061211062933097,,,
grab,0.010061211062933097,,,
beds,0.010061211062933097,,,
raised,0.010061211062933097,,,
mastery,0.010061211062933097,,,
medical,0.010061211062933097,,,
additional,0.010061211062933097,,,
small,0.009632911039027536,0.005664834160873588,,0.02632925982872637
creating,0.009632911039027536,0.005664834160873588,,0.003291157478590796
feelings,0.009632911039027536,,0.11530079146998963,0.009873472435772388
isolation,0.009632911039027536,0.002832417080436794,0.011530079146998964,
focus,0.009632911039027536,,0.011530079146998964,0.019746944871544776
religious,0.009632911039027536,0.005664834160873588,0.003843359715666321,
hygiene,0.009632911039027536,0.002832417080436794,0.015373438862665284,
position,0.009632911039027536,0.11329668321747177,0.003843359715666321,
learning,0.009632911039027536,0.011329668321747177,,0.003291157478590796
background,0.009632911039027536,0.011329668321747177,,0.003291157478590796
skills,0.009632911039027536,0.002832417080436794,0.003843359715666321,
focusing,0.009632911039027536,0.03115658788480474,0.003843359715666321,
garden,0.009632911039027536,0.008497251241310382,,0.003291157478590796
video,0.009632911039027536,,0.003843359715666321,0.019746944871544776
sadness,0.009632911039027536,0.005664834160873588,0.003843359715666321,
journal,0.007932374366352376,,0.004747313864786913,
keeping,0.007932374366352376,,0.009494627729573825,
old,0.007932374366352376,,,0.004065234244305564
stimulating,0.007932374366352376,0.003498598588627209,,
space,0.007932374366352376,0.003498598588627209,,
comedy,0.007932374366352376,0.006997197177254418,,
watching,0.007932374366352376,0.010495795765881626,,
enjoyment,0.007932374366352376,0.006997197177254418,,
needs,0.007932374366352376,,0.004747313864786913,
despite,0.007932374366352376,,,0.016260936977222255
exercise,0.007932374366352376,,,0.008130468488611127
discussions,0.007932374366352376,0.006997197177254418,,
consistent,0.007932374366352376,,0.04272582478308221,
warm,0.007932374366352376,,0.023736569323934562,
saturation,0.007932374366352376,,0.004747313864786913,
respiratory,0.007932374366352376,,0.004747313864786913,
demonstration,0.007932374366352376,0.003498598588627209,,
appealing,0.007932374366352376,,,0.008130468488611127
identity,0.007932374366352376,,0.009494627729573825,
traditional,0.007932374366352376,0.010495795765881626,,
heritage,0.007932374366352376,0.006997197177254418,,
planting,0.007932374366352376,0.006997197177254418,,
seeds,0.007932374366352376,0.013994394354508836,,
future,0.007932374366352376,0.03148738729764488,,
strengths,0.007932374366352376,,0.014241941594360739,
member,0.007932374366352376,0.006997197177254418,,
dietary,0.007932374366352376,,0.023736569323934562,
episodes,0.007932374366352376,,0.06171508024222986,
being,0.007932374366352376,,,0.012195702732916692
ask,0.007932374366352376,,0.004747313864786913,
terms,0.007932374366352376,,0.004747313864786913,
explained,0.007932374366352376,,0.009494627729573825,
response,0.007875535973416553,0.15515099939444088,0.012568793618825243,0.0053814737854025445
massage,0.007875535973416553,0.02315686558125983,0.0031421984047063107,0.013453684463506362
breath,0.007875535973416553,0.0069470596743779495,0.012568793618825243,0.010762947570805089
shortness,0.007875535973416553,0.004631373116251967,0.009426595214118932,0.010762947570805089
reminiscing,0.007875535973416553,0.04631373116251966,0.0031421984047063107,0.04036105339051909
family,0.007875535973416553,0.018525492465007867,0.0031421984047063107,0.016144421356207635
nausea,0.007875535973416553,0.0023156865581259833,0.01571099202353155,0.0053814737854025445
rest,0.007875535973416553,0.0023156865581259833,0.012568793618825243,0.0053814737854025445
reorientation,0.006421940692685023,0.002832417080436794,0.003843359715666321,
games,0.006421940692685023,,0.003843359715666321,0.009873472435772388
looking,0.006421940692685023,0.03115658788480474,,0.03620273226449876
spark,0.006421940692685023,,0.003843359715666321,0.006582314957181592
participate,0.006421940692685023,,0.015373438862665284,0.013164629914363185
one,0.006421940692685023,0.11896151737834536,,0.0954435668791331
worry,0.006421940692685023,0.002832417080436794,,0.003291157478590796
meditation,0.006421940692685023,0.002832417080436794,0.003843359715666321,
on,0.006421940692685023,0.05948075868917268,,0.04607620470027115
nature,0.006421940692685023,0.025491753723931147,,0.023038102350135575
mental,0.006421940692685023,,0.003843359715666321,0.003291157478590796
stimulate,0.006421940692685023,,0.003843359715666321,0.006582314957181592
textures,0.006421940692685023,0.005664834160873588,,0.003291157478590796
foods,0.006421940692685023,0.008497251241310382,,0.06253199209322513
hydration,0.006421940692685023,,0.015373438862665284,0.006582314957181592
options,0.006421940692685023,0.005664834160873588,0.03459023744099689,
similar,0.006421940692685023,0.002832417080436794,0.007686719431332642,
share,0.006421940692685023,0.002832417080436794,0.003843359715666321,
staff,0.006421940692685023,0.002832417080436794,0.015373438862665284,
improve,0.006421940692685023,,0.02690351800966425,0.006582314957181592
tasks,0.006421940692685023,,0.019216798578331605,0.023038102350135575
completing,0.006421940692685023,0.008497251241310382,,0.02962041730731716
alternative,0.006421940692685023,,0.007686719431332642,0.009873472435772388
occupational,0.006421940692685023,0.005664834160873588,0.011530079146998964,
remaining,0.006421940692685023,,0.007686719431332642,0.003291157478590796
devices,0.006421940692685023,,0.003843359715666321,0.003291157478590796
assistive,0.006421940692685023,,0.003843359715666321,0.003291157478590796
facilitated,0.006421940692685023,0.011329668321747177,,0.023038102350135575
imagery,0.006421940692685023,0.008497251241310382,0.003843359715666321,
preferences,0.006421940692685023,,0.015373438862665284,0.01645578739295398
favorite,0.006421940692685023,0.12462635153921896,,0.10202588183631468
muscle,0.006421940692685023,0.005664834160873588,0.003843359715666321,
progressive,0.006421940692685023,0.002832417080436794,0.003843359715666321,
puzzles,0.006421940692685023,0.002832417080436794,,0.006582314957181592
confusion,0.005250357315611036,0.0023156865581259833,0.025137587237650486,0.008072210678103818
management,0.005250357315611036,0.0023156865581259833,0.006284396809412621,0.0026907368927012723
photos,0.005250357315611036,0.0023156865581259833,0.006284396809412621,0.010762947570805089
items,0.005250357315611036,0.009262746232503933,0.0031421984047063107,0.010762947570805089
interests,0.005250357315611036,0.004631373116251967,0.009426595214118932,0.008072210678103818
content,0.005250357315611036,0.12041570102255113,0.009426595214118932,0.021525895141610178
participation,0.005250357315611036,0.060207850511275564,0.021995388832944173,0.0053814737854025445
adapted,0.005250357315611036,0.004631373116251967,0.009426595214118932,0.0026907368927012723
care,0.005250357315611036,0.0023156865581259833,0.021995388832944173,0.0053814737854025445
personal,0.005250357315611036,0.011578432790629915,0.0031421984047063107,0.016144421356207635
questions,0.005250357315611036,0.004631373116251967,0.0031421984047063107,0.0026907368927012723
upcoming,0.005250357315611036,0.004631373116251967,0.009426595214118932,0.0053814737854025445
fatigue,0.005250357315611036,0.009262746232503933,0.018853190428237864,0.013453684463506362
objects,0.005250357315611036,0.004631373116251967,0.01571099202353155,0.010762947570805089
pleasures,0.005030605531466548,,,
clutter,0.005030605531466548,,,
timeline,0.005030605531466548,,,
history,0.005030605531466548,,,
consistency,0.005030605531466548,,,
sleepiness,0.005030605531466548,,,
specifically,0.005030605531466548,,,
establishing,0.005030605531466548,,,
initiating,0.005030605531466548,,,
assist,0.005030605531466548,,,
concept,0.005030605531466548,,,
introduced,0.005030605531466548,,,
mindful,0.005030605531466548,,,
poses,0.005030605531466548,,,
funny,0.005030605531466548,,,
exploring,0.005030605531466548,,,
boredom,0.005030605531466548,,,
diet,0.005030605531466548,,,
balanced,0.005030605531466548,,,
healthy,0.005030605531466548,,,
napping,0.005030605531466548,,,
flavors,0.005030605531466548,,,
programs,0.005030605531466548,,,
pal,0.005030605531466548,,,
pen,0.005030605531466548,,,
volunteering,0.005030605531466548,,,
yesterday,0.005030605531466548,,,
achievable,0.005030605531466548,,,
overcoming,0.005030605531466548,,,
cooking,0.005030605531466548,,,
trying,0.005030605531466548,,,
novelty,0.005030605531466548,,,
finding,0.005030605531466548,,,
personalizing,0.005030605531466548,,,
supportive,0.005030605531466548,,,
personalize,0.005030605531466548,,,
areas,0.005030605531466548,,,
designated,0.005030605531466548,,,
walks,0.005030605531466548,,,
unfamiliar,0.005030605531466548,,,
exhibited,0.005030605531466548,,,
textured,0.005030605531466548,,,
permits,0.005030605531466548,,,
secure,0.005030605531466548,,,
interventions,0.005030605531466548,,,
bowel,0.005030605531466548,,,
water,0.005030605531466548,,,
laxatives,0.005030605531466548,,,
stronger,0.005030605531466548,,,
clubs,0.005030605531466548,,,
fostering,0.005030605531466548,,,
building,0.005030605531466548,,,
mindset,0.005030605531466548,,,
classes,0.005030605531466548,,,
peace,0.005030605531466548,,,
uplifting,0.005030605531466548,,,
sudoku,0.005030605531466548,,,
crossword,0.005030605531466548,,,
adjusted,0.005030605531466548,,,
towels,0.005030605531466548,,,
inclusive,0.005030605531466548,,,
dance,0.005030605531466548,,,
celebrate,0.005030605531466548,,,
tailored,0.005030605531466548,,,
presented,0.005030605531466548,,,
culturally,0.005030605531466548,,,
demonstrations,0.005030605531466548,,,
holidays,0.005030605531466548,,,
celebrating,0.005030605531466548,,,
disconnection,0.005030605531466548,,,
methods,0.005030605531466548,,,
perform,0.005030605531466548,,,
larger,0.005030605531466548,,,
modified,0.005030605531466548,,,
table,0.005030605531466548,,,
normalcy,0.005030605531466548,,,
explore,0.005030605531466548,,,
mindfulness,0.005030605531466548,,,
performing,0.005030605531466548,,,
recipes,0.005030605531466548,,,
baking,0.005030605531466548,,,
adaptations,0.005030605531466548,,,
with,0.005030605531466548,,,
distress,0.005030605531466548,,,
anti,0.005030605531466548,,,
considering,0.005030605531466548,,,
chi,0.005030605531466548,,,
tai,0.005030605531466548,,,
beauty,0.005030605531466548,,,
calls,0.003966187183176188,,0.009494627729573825,
reduce,0.003966187183176188,,0.009494627729573825,
calendars,0.003966187183176188,,,0.004065234244305564
clocks,0.003966187183176188,,,0.004065234244305564
fatigued,0.003966187183176188,,0.009494627729573825,
little,0.003966187183176188,,0.004747313864786913,
implementing,0.003966187183176188,,0.009494627729573825,
rested,0.003966187183176188,,0.009494627729573825,
bath,0.003966187183176188,,0.01898925545914765,
taking,0.003966187183176188,,,0.004065234244305564
bed,0.003966187183176188,,0.023736569323934562,
regular,0.003966187183176188,,0.004747313864786913,
tips,0.003966187183176188,,0.01898925545914765,
stretches,0.003966187183176188,,0.004747313864786913,
successfully,0.003966187183176188,0.003498598588627209,,
complete,0.003966187183176188,,0.004747313864786913,
aids,0.003966187183176188,,0.009494627729573825,
recent,0.003966187183176188,,0.023736569323934562,
recalling,0.003966187183176188,,0.004747313864786913,
trivia,0.003966187183176188,0.003498598588627209,,
heat,0.003966187183176188,,0.004747313864786913,
up,0.003966187183176188,0.003498598588627209,,
stand,0.003966187183176188,0.003498598588627209,,
origami,0.003966187183176188,0.003498598588627209,,
skill,0.003966187183176188,,,0.004065234244305564
comforting,0.003966187183176188,,,0.004065234244305564
youth,0.003966187183176188,0.010495795765881626,,
albums,0.003966187183176188,,,0.03658710819875007
motivated,0.003966187183176188,0.003498598588627209,,
pots,0.003966187183176188,0.006997197177254418,,
puzzle,0.003966187183176188,0.017492992943136044,,
aspects,0.003966187183176188,,0.004747313864786913,
encouragement,0.003966187183176188,,0.009494627729573825,
song,0.003966187183176188,0.006997197177254418,,
usual,0.003966187183176188,,0.009494627729573825,
motivation,0.003966187183176188,0.010495795765881626,,
recycled,0.003966187183176188,0.003498598588627209,,
helping,0.003966187183176188,0.003498598588627209,,
familiarity,0.003966187183176188,,,0.008130468488611127
familiarization,0.003966187183176188,0.003498598588627209,,
behavior,0.003966187183176188,,0.004747313864786913,
causes,0.003966187183176188,,0.004747313864786913,
underlying,0.003966187183176188,,0.014241941594360739,
restlessness,0.003966187183176188,0.003498598588627209,,
sensory,0.003966187183176188,0.006997197177254418,,
weather,0.003966187183176188,0.006997197177254418,,
area,0.003966187183176188,,,0.004065234244305564
wheelchair,0.003966187183176188,0.003498598588627209,,
outdoors,0.003966187183176188,0.013994394354508836,,
creative,0.003966187183176188,,,0.004065234244305564
art,0.003966187183176188,0.010495795765881626,,
visualization,0.003966187183176188,0.003498598588627209,,
language,0.003966187183176188,0.020991591531763252,,
constipation,0.003966187183176188,0.003498598588627209,,
groups,0.003966187183176188,0.003498598588627209,,
discussion,0.003966187183176188,0.017492992943136044,,
meaningful,0.003966187183176188,,0.023736569323934562,
personalized,0.003966187183176188,0.003498598588627209,,
nutritional,0.003966187183176188,,0.004747313864786913,
plan,0.003966187183176188,,,0.004065234244305564
milk,0.003966187183176188,,0.004747313864786913,
sleeping,0.003966187183176188,,0.028483883188721477,
along,0.003966187183176188,0.003498598588627209,,
sing,0.003966187183176188,0.006997197177254418,,
letters,0.003966187183176188,,0.004747313864786913,
dining,0.003966187183176188,,0.01898925545914765,
connecting,0.003966187183176188,0.013994394354508836,,
manner,0.003966187183176188,,0.004747313864786913,
possible,0.003966187183176188,,0.009494627729573825,
snacks,0.003966187183176188,0.06997197177254418,,
crafts,0.003966187183176188,,,0.008130468488611127
don,0.003966187183176188,,,0.008130468488611127
dexterity,0.003966187183176188,,,0.004065234244305564
ability,0.003966187183176188,,0.004747313864786913,
buttons,0.003966187183176188,0.006997197177254418,,
projects,0.003966187183176188,0.020991591531763252,,
planning,0.003966187183176188,0.003498598588627209,,
access,0.003966187183176188,0.03498598588627209,,
grooming,0.003966187183176188,,,0.024391405465833384
discussing,0.0032109703463425116,0.042486256206551914,,0.013164629914363185
better,0.0032109703463425116,0.002832417080436794,0.003843359715666321,
aromatherapy,0.0032109703463425116,0.014162085402183971,0.011530079146998964,
activity,0.0032109703463425116,0.11896151737834536,,0.019746944871544776
prompts,0.0032109703463425116,0.002832417080436794,0.003843359715666321,
capabilities,0.0032109703463425116,,0.007686719431332642,0.003291157478590796
control,0.0032109703463425116,,0.02690351800966425,0.013164629914363185
tolerated,0.0032109703463425116,,0.023060158293997927,0.006582314957181592
knee,0.0032109703463425116,0.002832417080436794,0.007686719431332642,
right,0.0032109703463425116,,0.007686719431332642,0.003291157478590796
movie,0.0032109703463425116,0.002832417080436794,,0.003291157478590796
board,0.0032109703463425116,,0.003843359715666321,0.01645578739295398
volunteer,0.0032109703463425116,0.005664834160873588,0.003843359715666321,
photo,0.0032109703463425116,0.016994502482620764,,0.03291157478590796
provide,0.0032109703463425116,,0.003843359715666321,0.01645578739295398
recipe,0.0032109703463425116,0.005664834160873588,,0.003291157478590796
materials,0.0032109703463425116,0.008497251241310382,,0.013164629914363185
adapting,0.0032109703463425116,0.002832417080436794,0.003843359715666321,
lotion,0.0032109703463425116,0.016994502482620764,,0.006582314957181592
manipulating,0.0032109703463425116,0.002832417080436794,,0.003291157478590796
engagement,0.0032109703463425116,,0.003843359715666321,0.006582314957181592
expression,0.0032109703463425116,,0.06533711516632745,0.003291157478590796
self,0.0032109703463425116,,0.007686719431332642,0.003291157478590796
flowers,0.0032109703463425116,0.005664834160873588,,0.006582314957181592
arranging,0.0032109703463425116,0.002832417080436794,,0.006582314957181592
book,0.0032109703463425116,0.025491753723931147,,0.003291157478590796
shared,0.0032109703463425116,0.06514559285004627,,0.06911430705040672
memories,0.0032109703463425116,0.016994502482620764,,0.03291157478590796
songs,0.0032109703463425116,0.002832417080436794,,0.003291157478590796
pleasant,0.0032109703463425116,,0.015373438862665284,0.006582314957181592
color,0.0032109703463425116,0.005664834160873588,,0.003291157478590796
encouraged,0.0032109703463425116,,0.12683087061698858,0.013164629914363185
connect,0.0032109703463425116,,0.011530079146998964,0.019746944871544776
require,0.0032109703463425116,,0.003843359715666321,0.023038102350135575
clothing,0.0032109703463425116,0.002832417080436794,0.011530079146998964,
consult,0.0032109703463425116,0.002832417080436794,0.08071055402899274,
selecting,0.0032109703463425116,0.002832417080436794,0.003843359715666321,
modifications,0.0032109703463425116,0.002832417080436794,0.023060158293997927,
chair,0.0032109703463425116,0.002832417080436794,,0.003291157478590796
seated,0.0032109703463425116,,0.007686719431332642,0.006582314957181592
life,0.002625178657805518,0.004631373116251967,0.0031421984047063107,0.013453684463506362
quality,0.002625178657805518,0.0069470596743779495,0.01571099202353155,0.0026907368927012723
pictures,0.002625178657805518,0.030103925255637782,0.009426595214118932,0.0053814737854025445
events,0.002625178657805518,0.011578432790629915,0.0031421984047063107,0.0053814737854025445
past,0.002625178657805518,0.05094510427877163,0.006284396809412621,0.051124000961324176
agitated,0.002625178657805518,0.0023156865581259833,0.0031421984047063107,0.0026907368927012723
agitation,0.002625178657805518,0.0023156865581259833,0.006284396809412621,0.0026907368927012723
mood,0.002625178657805518,0.055576477395023596,0.03770638085647573,0.0053814737854025445
experiences,0.002625178657805518,0.02315686558125983,0.006284396809412621,0.02421663203431145
assistance,0.002625178657805518,0.0023156865581259833,0.0314219840470631,0.029598105819713998
clear,0.002625178657805518,0.0023156865581259833,0.009426595214118932,0.008072210678103818
physical,0.002625178657805518,0.0023156865581259833,0.03456418245176941,0.021525895141610178
category,0.002625178657805518,0.004631373116251967,0.0031421984047063107,0.0026907368927012723
colorful,0.002625178657805518,0.004631373116251967,0.0031421984047063107,0.016144421356207635
